Ação;Empresa;Preço;Margem EBIT;P/VPA;EV/EBIT;Div.Yield;Volume Financ.(R$)
INEP4;INEPAR;0,88;5253,92%;-0,11;0,76;0,00%;2.492.832
INEP3;INEPAR;0,93;5253,92%;-0,12;0,76;0,00%;7.261.710
IGTI4;IGUATEMI S.A;7,29;45,08%;2,24;13,34;0,00%;150.837
IGTI3;IGUATEMI S.A;2,38;45,08%;0,73;13,34;0,00%;711.138
IGTI11;IGUATEMI S.A;16,82;45,08%;1,72;13,34;0,00%;65.306.412
IGSN3;IGUA SA;NA;10,45%;NA;NA;NA;0
IGBR3;IGB S/A;28,75;-105,73%;-0,03;-54,61;0,00%;41.089
IFCM3;INFRACOMM;2,58;-8,66%;0,62;-18,37;0,00%;4.354.088
HYPE3;HYPERA;42,51;33,00%;2,56;14,42;2,90%;173.864.055
HOOT4;HOTEIS OTHON;1,23;159,15%;-0,06;0,11;0,00%;9.939
HOOT3;HOTEIS OTHON;NA;159,15%;NA;0,11;NA;0
HETA4;HERCULES;3,81;92,50%;0;119,19;0,00%;2.718
HETA3;HERCULES;96;92,50%;-0,09;119,19;0,00%;0
HBTS6;HABITASUL;NA;-6,44%;NA;-44,8;NA;0
HBTS5;HABITASUL;30,02;-6,44%;0,55;-44,8;3,85%;3.707
HBTS3;HABITASUL;NA;-6,44%;NA;-44,8;NA;0
HBSA3;HIDROVIAS;2,27;14,86%;1,18;25,45;0,00%;9.811.303
HBRE3;HBR REALTY;4,35;255,07%;0,19;3,55;0,00%;172.123
HBOR3;HELBOR;1,96;11,84%;0,13;15,68;9,22%;1.873.031
HAPV3;HAPVIDA;4,59;0,50%;0,67;397,16;0,12%;373.742.681
HAGA4;HAGA S/A;1,13;11,89%;-0,21;3,83;0,00%;37.465
HAGA3;HAGA S/A;3,77;11,89%;-0,71;3,83;0,00%;70.903
GUAR3;GUARARAPES;6,29;5,82%;0,61;11,14;8,75%;12.921.239
GSHP3;GENERALSHOPP;24;38,61%;-0,06;29,18;0,00%;1.574
GRND3;GRENDENE;6,16;11,25%;1,3;15,86;6,25%;9.097.386
GRAO3;AGRIBRASIL;NA;3,69%;NA;NA;NA;0
GPIV33;GP INVEST;2,55;127,34%;0,04;0,7;0,00%;175.745
GPAR3;CELGPAR;45;416,24%;3;2,38;50,51%;4.190
GOLL4;GOL;6,13;-13,61%;-0,9;-16,73;0,00%;110.099.326
GOLL3;GOL;NA;-13,61%;NA;-16,73;NA;0
GOAU4;GERDAU MET;13,21;22,94%;0,27;0,86;9,46%;114.159.465
GOAU3;GERDAU MET;11,76;22,94%;0,24;0,86;10,63%;1.669.122
GMAT3;GRUPO MATEUS;5,21;5,97%;1,59;11,61;0,00%;45.233.211
GGPS3;GPS;10,75;9,27%;2,87;9,68;0,00%;21.489.387
GGBR4;GERDAU;30,17;23,00%;1,02;2,6;12,03%;342.958.730
GGBR3;GERDAU;24,4;23,00%;0,83;2,6;14,88%;1.358.749
GFSA3;GAFISA;5,66;10,45%;0,12;17,18;0,00%;14.250.556
GETT4;GETNET BR;2,33;18,41%;1,2;8,03;9,50%;143.231
GETT3;GETNET BR;2,33;18,41%;1,2;8,03;8,64%;118.917
GETT11;GETNET BR;5;18,41%;1,29;8,03;8,45%;1.406.609
GEPA4;GER PARANAP;26,19;28,60%;1,2;8,16;0,00%;22.625
GEPA3;GER PARANAP;23;28,60%;1,05;8,16;0,00%;7.457
G2DI33;G2D INVEST;2,22;33,83%;0,3;-1,12;0,00%;432.454
FRTA3;POMIFRUTAS;2,39;-73,48%;-0,07;-12,5;0,00%;4.266
FRRN5B;ALL NORTE;NA;37,76%;NA;NA;NA;0
FRRN3B;ALL NORTE;NA;37,76%;NA;NA;NA;0
FRIO3;METALFRIO;31;8,99%;-0,73;6,55;0,00%;262
FRAS3;FRAS-LE;9,87;10,45%;1,48;8,24;0,00%;5.104.702
FLRY3;FLEURY;15,58;17,90%;2,96;10,96;5,16%;47.607.228
FLEX3;FLEX S/A;NA;-19,92%;NA;NA;NA;0
FIQE3;UNIFIQUE;3,6;25,34%;1,31;6,66;2,34%;1.809.490
FIGE4;INVEST BEMGE;NA;NA;NA;NA;NA;0
FIGE3;INVEST BEMGE;12,03;NA;NA;NA;0,00%;0
FHER3;FER HERINGER;17,01;7,54%;2,07;2,54;0,00%;3.224.854
FESA4;FERBASA;51,62;41,83%;1,5;3,34;6,90%;10.109.550
FESA3;FERBASA;61;41,83%;1,77;3,34;5,31%;4.254
EZTC3;EZTEC;12,92;26,84%;0,63;9,22;6,02%;35.735.571
EVEN3;EVEN;4,48;7,41%;0,34;3,92;4,99%;6.845.280
EUCA4;EUCATEX;7,09;15,64%;0,32;3,1;3,99%;278.819
EUCA3;EUCATEX;10,32;15,64%;0,46;3,1;2,49%;17.475
ETER3;ETERNIT;9,42;19,76%;0,88;2,58;11,39%;9.878.257
ESTR4;ESTRELA;39,99;26,25%;-0,07;2,67;0,00%;2.561
ESTR3;ESTRELA;40;26,25%;-0,07;2,67;0,00%;0
ESPA3;ESPACOLASER;1,16;13,92%;0,61;10,8;0,00%;7.711.920
EQTL3;EQUATORIAL;26,23;20,54%;1,62;9,45;2,44%;215.499.729
EQPA7;EQTL PARA;7,7;22,63%;3,91;8,52;11,47%;236
EQPA6;EQTL PARA;9,83;22,63%;4,99;8,52;0,00%;0
EQPA5;EQTL PARA;7,94;22,63%;4,03;8,52;8,28%;251
EQPA3;EQTL PARA;6,5;22,63%;3,3;8,52;13,59%;142.401
EQMA5B;EQTLMARANHAO;NA;17,89%;NA;6,1;NA;0
EQMA3B;EQTLMARANHAO;25,49;17,89%;1,32;6,1;0,00%;11.564
EPAR3;EMBPAR S/A;9,81;6,11%;1,56;2,99;20,58%;13.772
ENMT4;ENERGISA MT;77,9;25,13%;5,02;11,28;4,54%;26.345
ENMT3;ENERGISA MT;77,99;25,13%;5,03;11,28;4,54%;47.349
ENJU3;ENJOEI;0,89;-91,24%;0,46;1,23;0,00%;1.303.251
ENGI4;ENERGISA;7,26;21,65%;1,14;7,01;9,26%;118.676
ENGI3;ENERGISA;13,15;21,65%;2,07;7,01;5,11%;72.723
ENGI11;ENERGISA;41,68;21,65%;1,31;7,01;8,06%;99.734.782
ENEV3;ENEVA;11,15;32,61%;1,27;13,02;0,00%;151.680.846
ENBR3;ENERGIAS BR;19,86;24,94%;0,89;4,94;11,05%;69.603.601
ENAT3;ENAUTA PART;11,95;65,20%;0,8;1,5;14,30%;20.565.606
EMBR3;EMBRAER;13,55;-4,72%;0,68;-18,64;0,00%;99.067.470
EMAE4;EMAE;54,29;2,11%;2,16;94,89;1,62%;226.776
EMAE3;EMAE;17,31;2,11%;0,69;94,89;0,00%;0
ELMD3;ELETROMIDIA;9,54;11,24%;1,5;23,81;0,00%;2.475.589
ELET6;ELETROBRAS;42,15;24,10%;0,87;14,04;3,65%;151.856.915
ELET5;ELETROBRAS;62,45;24,10%;1,28;14,04;0,00%;0
ELET3;ELETROBRAS;40,94;24,10%;0,84;14,04;1,80%;564.742.220
EKTR4;ELEKTRO;36,99;22,02%;2,36;5,77;21,30%;27.197
EKTR3;ELEKTRO;32,55;22,02%;2,07;5,77;22,00%;495
EGIE3;ENGIE BRASIL;36,98;43,75%;3,75;8,9;7,62%;72.468.246
ECOR3;ECORODOVIAS;4,02;24,54%;1,14;9,23;0,00%;27.270.497
EALT4;ACO ALTONA;6,52;12,74%;0,72;4,54;19,27%;147.650
EALT3;ACO ALTONA;8,16;12,74%;0,9;4,54;14,00%;1.091
DXCO3;DEXCO;7,45;15,97%;0,96;6,68;0,00%;38.969.915
DTCY4;DTCOM-DIRECT;NA;-47,86%;NA;-16,11;NA;0
DTCY3;DTCOM-DIRECT;5,35;-47,86%;-25,48;-16,11;0,00%;633
DOTZ3;DOTZ SA;1,28;-73,70%;-1,25;-0,47;0,00%;101.417
DOHL4;DOHLER;4,33;2,54%;0,46;42,29;3,05%;17.468
DOHL3;DOHLER;10;2,54%;1,07;42,29;1,20%;367
DMVF3;D1000VFARMA;3,6;2,15%;0,22;5,25;0,00%;281.205
DMMO3;DOMMO;1,85;8,16%;-1,7;32,14;0,00%;16.350.886
DIRR3;DIRECIONAL;14,35;17,60%;1,41;6,66;3,28%;37.963.373
DEXP4;DEXXOS PAR;5,7;10,18%;0,8;3,59;7,12%;47.397
DEXP3;DEXXOS PAR;6,89;10,18%;0,97;3,59;5,59%;1.718.911
DESK3;DESKTOP;8,49;27,45%;0,79;7,54;0,17%;1.913.736
DASA3;DASA;12,48;6,26%;0,95;18,9;2,41%;3.699.107
CYRE3;CYRELA REALT;12,1;17,75%;0,66;6,91;4,67%;164.645.469
CXSE3;CAIXA SEGURI;7,73;NA;1,97;7,58;8,39%;22.331.759
CVCB3;CVC BRASIL;3,66;-13,42%;2,44;-7,99;0,00%;100.455.894
CURY3;CURY S/A;10,67;20,35%;3,57;6,65;4,83%;21.476.689
CTSA4;SANTANENSE;1,81;-3,75%;0,18;-10,29;13,19%;25.123
CTSA3;SANTANENSE;2,68;-3,75%;0,27;-10,29;8,10%;13.201
CTNM4;COTEMINAS;1,87;1,27%;0,05;50,19;0,00%;19.021
CTNM3;COTEMINAS;6,04;1,27%;0,17;50,19;0,00%;162
CTKA4;KARSTEN;9;3,99%;-0,34;26,36;0,00%;5.644
CTKA3;KARSTEN;21,46;3,99%;-0,82;26,36;0,00%;677
CTCA3;CTC S.A.;NA;38,94%;NA;NA;NA;0
CSUD3;CSU DIGITAL;11,3;18,99%;1,3;4,73;7,72%;1.326.251
CSRN6;COSERN;21;22,10%;2,77;7,58;23,04%;703
CSRN5;COSERN;19,3;22,10%;2,55;7,58;23,08%;3.581
CSRN3;COSERN;21,57;22,10%;2,85;7,58;18,77%;10.439
CSNA3;SID NACIONAL;13,91;20,71%;0,78;4,41;14,76%;182.991.750
CSMG3;COPASA;15,09;16,58%;0,8;8,61;2,55%;28.057.915
CSED3;CRUZEIRO EDU;3,73;17,37%;0,99;4,54;3,51%;2.216.880
CSAN3;COSAN;15,7;17,21%;0,91;11,25;2,73%;219.796.575
CRTE3B;CONC RIO TER;NA;32,54%;NA;NA;NA;0
CRPG6;CRISTAL;25,51;10,13%;0,81;9,2;21,90%;34.451
CRPG5;CRISTAL;26,3;10,13%;0,84;9,2;21,24%;464.301
CRPG3;CRISTAL;50,7;10,13%;1,61;9,2;2,20%;217
CRFB3;CARREFOUR BR;14,14;5,32%;1,39;9,48;1,93%;105.048.767
CRDE3;CR2;18;-143,26%;0,46;-3,39;0,00%;1.735
CPLE6;COPEL;7,43;13,04%;0,95;9,46;13,36%;117.189.274
CPLE5;COPEL;23,12;13,04%;2,97;9,46;4,29%;1.823
CPLE3;COPEL;6,34;13,04%;0,81;9,46;14,24%;8.563.905
CPLE11;COPEL;36,07;13,04%;0,93;9,46;13,51%;18.116.032
CPFE3;CPFL ENERGIA;30,1;22,96%;2,2;5,94;10,77%;74.243.584
CORR4;COR RIBEIRO;75,85;-70,20%;-2,38;7,63;0,00%;0
CORR3;COR RIBEIRO;NA;-70,20%;NA;7,63;NA;0
COMR3;COMERC PAR;NA;6,78%;NA;NA;NA;0
COGN3;COGNA ON;1,97;7,28%;0,28;27,2;0,00%;118.761.637
COCE6;COELCE;NA;12,83%;NA;7,35;NA;0
COCE5;COELCE;41,5;12,83%;0,87;7,35;4,68%;2.558.772
COCE3;COELCE;57,16;12,83%;1,2;7,35;0,00%;89
CNSY3;CINESYSTEM;NA;10,38%;NA;NA;NA;0
CMSA4;CIMS;NA;NA;NA;NA;NA;0
CMSA3;CIMS;NA;NA;NA;NA;NA;0
CMIN3;CSNMINERACAO;3,84;33,29%;1,6;4,91;25,82%;37.055.480
CMIG4;CEMIG;10,95;15,71%;1,14;6,56;13,86%;142.869.225
CMIG3;CEMIG;17,35;15,71%;1,81;6,56;8,75%;6.943.577
CLSC4;CELESC;52,28;7,63%;0,69;3,93;13,51%;228.875
CLSC3;CELESC;48,91;7,63%;0,64;3,93;13,13%;74.631
CLSA3;CLEARSALE;4,4;-27,91%;1,12;-2,77;0,00%;3.499.326
CIEL3;CIELO;4,58;9,51%;0,91;14,94;5,46%;154.428.416
CGRA4;GRAZZIOTIN;25,7;15,96%;0,61;4;13,50%;292.881
CGRA3;GRAZZIOTIN;28,49;15,96%;0,68;4;12,17%;65.689
CGAS5;COMGAS;129,71;15,76%;10,33;8,26;11,78%;328.388
CGAS3;COMGAS;120;15,76%;9,56;8,26;11,57%;24.010
CEGR3;CEG;88,55;15,19%;17,47;26,97;0,00%;0
CEED4;CEEE-D;35;7,89%;-0,86;12,98;0,00%;1.715
CEED3;CEEE-D;38,9;7,89%;-0,96;12,98;0,00%;5.706
CEEB6;COELBA;NA;22,24%;NA;6,91;NA;0
CEEB5;COELBA;35,05;22,24%;1,64;6,91;23,93%;373
CEEB3;COELBA;37;22,24%;1,73;6,91;17,42%;44.648
CEDO4;CEDRO;3,76;4,03%;0,3;5,77;0,00%;5.759
CEDO3;CEDRO;6,35;4,03%;0,5;5,77;0,00%;789
CEBR6;CEB;9,66;69,06%;0,57;0,67;40,33%;155.529
CEBR5;CEB;10,02;69,06%;0,59;0,67;35,35%;51.445
CEBR3;CEB;9,68;69,06%;0,57;0,67;36,59%;58.754
CEAB3;CEA MODAS;1,95;2,18%;0,22;13,16;0,00%;13.093.739
CCRO3;CCR SA;10,13;54,69%;1,61;4,05;3,75%;147.681.164
